"File","CatchCount","Lines","HasS2139Pragma"
"apps\api\src\Api\BoundedContexts\KnowledgeBase\Application\Queries\GetSharedThread\GetSharedThreadQueryHandler.cs","1","75","False"
"apps\api\src\Api\BoundedContexts\KnowledgeBase\Application\Services\HybridLlmService.cs","3","202, 512, 538","False"
"apps\api\src\Api\BoundedContexts\KnowledgeBase\Application\Services\LlmBudgetMonitoringService.cs","1","76","False"
"apps\api\src\Api\BoundedContexts\KnowledgeBase\Application\Services\ProviderHealthCheckService.cs","2","47, 163","False"
"apps\api\src\Api\BoundedContexts\KnowledgeBase\Application\Services\Reranking\ResilientRetrievalService.cs","1","211","False"
"apps\api\src\Api\BoundedContexts\KnowledgeBase\Domain\Services\QualityTracking\GoldenDatasetLoader.cs","1","242","False"
"apps\api\src\Api\BoundedContexts\KnowledgeBase\Domain\Services\RagValidation\MultiModelValidationService.cs","1","233","False"
"apps\api\src\Api\BoundedContexts\KnowledgeBase\Infrastructure\External\Reranking\CrossEncoderRerankerClient.cs","1","164","False"
"apps\api\src\Api\Infrastructure\SecretsHelper.cs","1","75","False"
"apps\api\src\Api\Infrastructure\BackgroundTasks\RedisBackgroundTaskOrchestrator.cs","5","195, 250, 290, 312, 333","True"
"apps\api\src\Api\Infrastructure\BackgroundTasks\UsedTotpCodeCleanupTask.cs","1","86","False"
"apps\api\src\Api\Infrastructure\Secrets\InfisicalSecretsClient.cs","4","94, 161, 196, 248","False"
"apps\api\src\Api\Middleware\ApiKeyAuthenticationMiddleware.cs","1","171","False"
"apps\api\src\Api\Middleware\SecurityHeadersMiddleware.cs","1","91","False"
"apps\api\src\Api\Middleware\SessionAuthenticationMiddleware.cs","1","68","False"
"apps\api\src\Api\Routing\KnowledgeBaseEndpoints.cs","1","289","False"
"apps\api\src\Api\Routing\TestEndpoints.cs","1","65","False"
"apps\api\src\Api\Services\HybridCacheService.cs","5","87, 297, 346, 384, 450","False"
"apps\api\src\Api\SharedKernel\Application\EventHandlers\DomainEventHandlerBase.cs","1","61","True"
